record_uuid,annotator_id,task,language,inserted_at,created_at,record_status,query,chunk,chunk_id,doc_id,chunk_rank,topically_relevant,evidence_sufficient,misleading,notes,constraint_violated,constraint_details
062d21370a89acfc7e1a4629f466d11bc999cb7786e0ea25dd4bf4b22acca945,alice,retrieval,en,2026-04-01T23:25:01.751039,2026-04-01T23:53:36.339459,completed,What are the key principles of Germany's social market economy?,The social market economy (Soziale Marktwirtschaft) is Germany's socioeconomic model combining a free-market capitalist economy with social policies that establish fair competition and a welfare state. The concept was developed by economists Alfred Mueller-Armack and Ludwig Erhard after World War II.,sme-01,ordo-economics-handbook,1,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
062d21370a89acfc7e1a4629f466d11bc999cb7786e0ea25dd4bf4b22acca945,ops_admin,retrieval,en,2026-04-01T23:25:01.751039,2026-04-01T23:53:36.339459,completed,What are the key principles of Germany's social market economy?,The social market economy (Soziale Marktwirtschaft) is Germany's socioeconomic model combining a free-market capitalist economy with social policies that establish fair competition and a welfare state. The concept was developed by economists Alfred Mueller-Armack and Ludwig Erhard after World War II.,sme-01,ordo-economics-handbook,1,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
e8566d3bc5fd5e2ebfdd6d756eb7ccf379d136fb24370c68e6eef72acd99d83a,alice,retrieval,de,2026-04-01T23:25:01.751024,2026-04-01T23:53:34.771973,completed,Welche Voraussetzungen gelten fuer die Anerkennung auslaendischer Hochschulabschluesse in Deutschland?,"Fuer reglementierte Berufe (z.B. Aerzte, Apotheker, Rechtsanwaelte) ist die Anerkennung des auslaendischen Abschlusses durch die zustaendige Berufsbehoerde gesetzlich vorgeschrieben. Die Rechtsgrundlage bildet das Berufsqualifikationsfeststellungsgesetz (BQFG).",edu-de-02,bqfg-kommentar,2,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
e8566d3bc5fd5e2ebfdd6d756eb7ccf379d136fb24370c68e6eef72acd99d83a,ops_admin,retrieval,de,2026-04-01T23:25:01.751024,2026-04-01T23:53:34.771973,completed,Welche Voraussetzungen gelten fuer die Anerkennung auslaendischer Hochschulabschluesse in Deutschland?,"Fuer reglementierte Berufe (z.B. Aerzte, Apotheker, Rechtsanwaelte) ist die Anerkennung des auslaendischen Abschlusses durch die zustaendige Berufsbehoerde gesetzlich vorgeschrieben. Die Rechtsgrundlage bildet das Berufsqualifikationsfeststellungsgesetz (BQFG).",edu-de-02,bqfg-kommentar,2,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
062d21370a89acfc7e1a4629f466d11bc999cb7786e0ea25dd4bf4b22acca945,alice,retrieval,en,2026-04-01T23:25:01.751047,2026-04-01T23:53:37.769316,completed,What are the key principles of Germany's social market economy?,The Bundeskartellamt (Federal Cartel Office) enforces competition law to prevent market dominance and cartels. It operates under the Act against Restraints of Competition (GWB) and has authority to block mergers that would significantly impede effective competition.,sme-02,bundeskartellamt-overview,2,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
062d21370a89acfc7e1a4629f466d11bc999cb7786e0ea25dd4bf4b22acca945,ops_admin,retrieval,en,2026-04-01T23:25:01.751047,2026-04-01T23:53:37.769316,completed,What are the key principles of Germany's social market economy?,The Bundeskartellamt (Federal Cartel Office) enforces competition law to prevent market dominance and cartels. It operates under the Act against Restraints of Competition (GWB) and has authority to block mergers that would significantly impede effective competition.,sme-02,bundeskartellamt-overview,2,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
8fe59c986bc40b1ba24305e89751dbeef793f16d9089bc6f0b6d2d4a9cd3e023,alice,retrieval,en,2026-04-01T23:25:01.750982,2026-04-01T23:53:39.118282,completed,What is the current state of broadband coverage in rural Germany?,"The Federal Ministry for Digital and Transport published the Gigabit Strategy in July 2022, targeting nationwide gigabit coverage by 2030. The strategy prioritises underserved areas where market-driven deployment is not commercially viable.",bb-de-02,bmvi-gigabit-strategy,2,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
8fe59c986bc40b1ba24305e89751dbeef793f16d9089bc6f0b6d2d4a9cd3e023,ops_admin,retrieval,en,2026-04-01T23:25:01.750982,2026-04-01T23:53:39.118282,completed,What is the current state of broadband coverage in rural Germany?,"The Federal Ministry for Digital and Transport published the Gigabit Strategy in July 2022, targeting nationwide gigabit coverage by 2030. The strategy prioritises underserved areas where market-driven deployment is not commercially viable.",bb-de-02,bmvi-gigabit-strategy,2,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
8fe59c986bc40b1ba24305e89751dbeef793f16d9089bc6f0b6d2d4a9cd3e023,alice,retrieval,en,2026-04-01T23:25:01.750989,2026-04-01T23:53:43.197545,completed,What is the current state of broadband coverage in rural Germany?,"Germany's fibre-to-the-home (FTTH) deployment has historically lagged behind European peers. The FTTH Council Europe reports German FTTH coverage at approximately 19% nationally, with rural penetration estimates varying between 8% and 14% depending on the data source.",bb-de-03,ftth-council-2024,3,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
8fe59c986bc40b1ba24305e89751dbeef793f16d9089bc6f0b6d2d4a9cd3e023,ops_admin,retrieval,en,2026-04-01T23:25:01.750989,2026-04-01T23:53:43.197545,completed,What is the current state of broadband coverage in rural Germany?,"Germany's fibre-to-the-home (FTTH) deployment has historically lagged behind European peers. The FTTH Council Europe reports German FTTH coverage at approximately 19% nationally, with rural penetration estimates varying between 8% and 14% depending on the data source.",bb-de-03,ftth-council-2024,3,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
9719d234c170dfeb31c42fb20663487e5dd6039ff9b24ce48909c6016316d32a,alice,retrieval,en,2026-04-01T23:25:01.751010,2026-04-01T23:53:44.199678,completed,How are foundation assets taxed in Germany?,Donations to recognised charitable foundations are deductible up to 20% of the donor's total income or 4 per mille of the sum of total turnover plus wages and salaries paid in the calendar year (for corporate donors).,tax-de-03,donation-law-guide,3,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
9719d234c170dfeb31c42fb20663487e5dd6039ff9b24ce48909c6016316d32a,ops_admin,retrieval,en,2026-04-01T23:25:01.751010,2026-04-01T23:53:44.199678,completed,How are foundation assets taxed in Germany?,Donations to recognised charitable foundations are deductible up to 20% of the donor's total income or 4 per mille of the sum of total turnover plus wages and salaries paid in the calendar year (for corporate donors).,tax-de-03,donation-law-guide,3,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
d16dc35885bfed6fb31ade21ed8282ef10ea7e9e0c20b43596f901afbcfeeb42,alice,retrieval,en,2026-04-01T23:25:01.750938,2026-04-01T23:53:40.741829,completed,What funding programmes does the EU offer for small and medium-sized enterprises?,"The EU provides a range of funding instruments for small and medium-sized enterprises (SMEs). Horizon Europe, the EU's key research and innovation programme (2021-2027), allocates at least EUR 13.6 billion to SME-related activities including EIC Accelerator grants of up to EUR 2.5 million per project.",eu-fund-01,eu-sme-guide-2024,1,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
d16dc35885bfed6fb31ade21ed8282ef10ea7e9e0c20b43596f901afbcfeeb42,ops_admin,retrieval,en,2026-04-01T23:25:01.750938,2026-04-01T23:53:40.741829,completed,What funding programmes does the EU offer for small and medium-sized enterprises?,"The EU provides a range of funding instruments for small and medium-sized enterprises (SMEs). Horizon Europe, the EU's key research and innovation programme (2021-2027), allocates at least EUR 13.6 billion to SME-related activities including EIC Accelerator grants of up to EUR 2.5 million per project.",eu-fund-01,eu-sme-guide-2024,1,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
d16dc35885bfed6fb31ade21ed8282ef10ea7e9e0c20b43596f901afbcfeeb42,alice,retrieval,en,2026-04-01T23:25:01.750952,2026-04-01T23:53:42.167526,completed,What funding programmes does the EU offer for small and medium-sized enterprises?,"The COSME programme (Programme for the Competitiveness of Enterprises and SMEs) facilitates access to finance through loan guarantees and equity instruments. It supports approximately 200,000 SMEs annually across member states.",eu-fund-02,eu-sme-guide-2024,2,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
d16dc35885bfed6fb31ade21ed8282ef10ea7e9e0c20b43596f901afbcfeeb42,ops_admin,retrieval,en,2026-04-01T23:25:01.750952,2026-04-01T23:53:42.167526,completed,What funding programmes does the EU offer for small and medium-sized enterprises?,"The COSME programme (Programme for the Competitiveness of Enterprises and SMEs) facilitates access to finance through loan guarantees and equity instruments. It supports approximately 200,000 SMEs annually across member states.",eu-fund-02,eu-sme-guide-2024,2,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
d16dc35885bfed6fb31ade21ed8282ef10ea7e9e0c20b43596f901afbcfeeb42,alice,retrieval,en,2026-04-01T23:25:01.750967,2026-04-01T23:53:32.685310,completed,What funding programmes does the EU offer for small and medium-sized enterprises?,All EU funding opportunities are published on the EU Funding & Tenders Portal (ec.europa.eu/info/funding-tenders). Applicants must register and obtain a Participant Identification Code (PIC) before submitting proposals.,eu-fund-04,eu-sme-guide-2024,4,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
d16dc35885bfed6fb31ade21ed8282ef10ea7e9e0c20b43596f901afbcfeeb42,ops_admin,retrieval,en,2026-04-01T23:25:01.750967,2026-04-01T23:53:32.685310,completed,What funding programmes does the EU offer for small and medium-sized enterprises?,All EU funding opportunities are published on the EU Funding & Tenders Portal (ec.europa.eu/info/funding-tenders). Applicants must register and obtain a Participant Identification Code (PIC) before submitting proposals.,eu-fund-04,eu-sme-guide-2024,4,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
9719d234c170dfeb31c42fb20663487e5dd6039ff9b24ce48909c6016316d32a,alice,retrieval,en,2026-04-01T23:25:01.750996,2026-04-01T23:53:48.436217,completed,How are foundation assets taxed in Germany?,"Foundations recognised as tax-exempt under Sections 51-68 AO (Abgabenordnung) are exempt from corporate income tax (KStG) and trade tax (GewStG) on income derived from their tax-privileged activities. This includes the asset management sphere (Vermoegensverwaltung) covering dividends, interest, and rental income.",tax-de-01,ao-commentary-2024,1,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
9719d234c170dfeb31c42fb20663487e5dd6039ff9b24ce48909c6016316d32a,ops_admin,retrieval,en,2026-04-01T23:25:01.750996,2026-04-01T23:53:48.436217,completed,How are foundation assets taxed in Germany?,"Foundations recognised as tax-exempt under Sections 51-68 AO (Abgabenordnung) are exempt from corporate income tax (KStG) and trade tax (GewStG) on income derived from their tax-privileged activities. This includes the asset management sphere (Vermoegensverwaltung) covering dividends, interest, and rental income.",tax-de-01,ao-commentary-2024,1,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
8fe59c986bc40b1ba24305e89751dbeef793f16d9089bc6f0b6d2d4a9cd3e023,alice,retrieval,en,2026-04-01T23:25:01.750974,2026-04-01T23:53:47.440560,completed,What is the current state of broadband coverage in rural Germany?,"According to the Bundesnetzagentur's 2024 broadband atlas, 82.1% of rural households can access download speeds of at least 100 Mbit/s, up from 67.4% in 2021. Gigabit-capable connections (1,000 Mbit/s or more) are available to 38.7% of rural households.",bb-de-01,bnetza-broadband-2024,1,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
8fe59c986bc40b1ba24305e89751dbeef793f16d9089bc6f0b6d2d4a9cd3e023,ops_admin,retrieval,en,2026-04-01T23:25:01.750974,2026-04-01T23:53:47.440560,completed,What is the current state of broadband coverage in rural Germany?,"According to the Bundesnetzagentur's 2024 broadband atlas, 82.1% of rural households can access download speeds of at least 100 Mbit/s, up from 67.4% in 2021. Gigabit-capable connections (1,000 Mbit/s or more) are available to 38.7% of rural households.",bb-de-01,bnetza-broadband-2024,1,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
e8566d3bc5fd5e2ebfdd6d756eb7ccf379d136fb24370c68e6eef72acd99d83a,alice,retrieval,de,2026-04-01T23:25:01.751032,2026-04-01T23:53:46.385959,completed,Welche Voraussetzungen gelten fuer die Anerkennung auslaendischer Hochschulabschluesse in Deutschland?,Bei nicht reglementierten Berufen besteht keine gesetzliche Anerkennungspflicht. Arbeitgeber koennen die Qualifikation eigenstaendig beurteilen. Die ZAB-Zeugnisbewertung dient in diesen Faellen als Orientierungshilfe.,edu-de-03,bqfg-kommentar,3,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
e8566d3bc5fd5e2ebfdd6d756eb7ccf379d136fb24370c68e6eef72acd99d83a,ops_admin,retrieval,de,2026-04-01T23:25:01.751032,2026-04-01T23:53:46.385959,completed,Welche Voraussetzungen gelten fuer die Anerkennung auslaendischer Hochschulabschluesse in Deutschland?,Bei nicht reglementierten Berufen besteht keine gesetzliche Anerkennungspflicht. Arbeitgeber koennen die Qualifikation eigenstaendig beurteilen. Die ZAB-Zeugnisbewertung dient in diesen Faellen als Orientierungshilfe.,edu-de-03,bqfg-kommentar,3,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
062d21370a89acfc7e1a4629f466d11bc999cb7786e0ea25dd4bf4b22acca945,alice,retrieval,en,2026-04-01T23:25:01.751055,2026-04-01T23:53:49.690469,completed,What are the key principles of Germany's social market economy?,"Germany's social insurance system comprises five pillars: statutory health insurance (GKV), pension insurance (GRV), unemployment insurance, long-term care insurance (Pflegeversicherung), and statutory accident insurance. Contributions are shared roughly equally between employers and employees.",sme-03,social-insurance-guide,3,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
062d21370a89acfc7e1a4629f466d11bc999cb7786e0ea25dd4bf4b22acca945,ops_admin,retrieval,en,2026-04-01T23:25:01.751055,2026-04-01T23:53:49.690469,completed,What are the key principles of Germany's social market economy?,"Germany's social insurance system comprises five pillars: statutory health insurance (GKV), pension insurance (GRV), unemployment insurance, long-term care insurance (Pflegeversicherung), and statutory accident insurance. Contributions are shared roughly equally between employers and employees.",sme-03,social-insurance-guide,3,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
d16dc35885bfed6fb31ade21ed8282ef10ea7e9e0c20b43596f901afbcfeeb42,alice,retrieval,en,2026-04-01T23:25:01.750959,2026-04-01T23:53:45.196850,completed,What funding programmes does the EU offer for small and medium-sized enterprises?,"The European Regional Development Fund (ERDF) co-finances regional programmes that provide direct grants, soft loans, and equity to SMEs. Each member state designs its own operational programmes within the ERDF framework.",eu-fund-03,eu-sme-guide-2024,3,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
d16dc35885bfed6fb31ade21ed8282ef10ea7e9e0c20b43596f901afbcfeeb42,ops_admin,retrieval,en,2026-04-01T23:25:01.750959,2026-04-01T23:53:45.196850,completed,What funding programmes does the EU offer for small and medium-sized enterprises?,"The European Regional Development Fund (ERDF) co-finances regional programmes that provide direct grants, soft loans, and equity to SMEs. Each member state designs its own operational programmes within the ERDF framework.",eu-fund-03,eu-sme-guide-2024,3,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
9719d234c170dfeb31c42fb20663487e5dd6039ff9b24ce48909c6016316d32a,alice,retrieval,en,2026-04-01T23:25:01.751003,2026-04-01T23:53:51.616132,completed,How are foundation assets taxed in Germany?,"The economic activity sphere (wirtschaftlicher Geschaeftsbetrieb) of a tax-exempt foundation is subject to corporate income tax at 15% plus solidarity surcharge (5.5% of tax liability) and trade tax, if annual gross revenues exceed EUR 45,000.",tax-de-02,ao-commentary-2024,2,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
9719d234c170dfeb31c42fb20663487e5dd6039ff9b24ce48909c6016316d32a,ops_admin,retrieval,en,2026-04-01T23:25:01.751003,2026-04-01T23:53:51.616132,completed,How are foundation assets taxed in Germany?,"The economic activity sphere (wirtschaftlicher Geschaeftsbetrieb) of a tax-exempt foundation is subject to corporate income tax at 15% plus solidarity surcharge (5.5% of tax liability) and trade tax, if annual gross revenues exceed EUR 45,000.",tax-de-02,ao-commentary-2024,2,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
e8566d3bc5fd5e2ebfdd6d756eb7ccf379d136fb24370c68e6eef72acd99d83a,alice,retrieval,de,2026-04-01T23:25:01.751017,2026-04-01T23:53:53.513195,completed,Welche Voraussetzungen gelten fuer die Anerkennung auslaendischer Hochschulabschluesse in Deutschland?,"Die Zentralstelle fuer auslaendisches Bildungswesen (ZAB) ist die zentrale Anlaufstelle fuer die Bewertung auslaendischer Bildungsabschluesse in Deutschland. Sie erstellt individuelle Zeugnisbewertungen, die den auslaendischen Hochschulabschluss in das deutsche Bildungssystem einordnen.",edu-de-01,zab-leitfaden-2024,1,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
e8566d3bc5fd5e2ebfdd6d756eb7ccf379d136fb24370c68e6eef72acd99d83a,ops_admin,retrieval,de,2026-04-01T23:25:01.751017,2026-04-01T23:53:53.513195,completed,Welche Voraussetzungen gelten fuer die Anerkennung auslaendischer Hochschulabschluesse in Deutschland?,"Die Zentralstelle fuer auslaendisches Bildungswesen (ZAB) ist die zentrale Anlaufstelle fuer die Bewertung auslaendischer Bildungsabschluesse in Deutschland. Sie erstellt individuelle Zeugnisbewertungen, die den auslaendischen Hochschulabschluss in das deutsche Bildungssystem einordnen.",edu-de-01,zab-leitfaden-2024,1,true,true,true,,true,retrieval: evidence_sufficient=True but misleading=True
